
 num     #instances         #bytes  class name
 397:           212           5088  org.springframework.util.LinkedCaseInsensitiveMap
 398:            76           5032  [Ljavax.management.MBeanAttributeInfo;
 399:           157           5024  sun.reflect.ClassFileAssembler
 400:           125           5000  java.util.IdentityHashMap
 401:           311           4976  org.springframework.util.AntPathMatcher$AntPatternComparator
 402:           206           4944  java.security.Provider$UString
 403:           154           4928  java.lang.reflect.WeakCache$CacheValue
 404:           306           4896  com.netflix.servo.tag.SmallTagMap$Builder$1
 405:           152           4864  java.security.MessageDigest$Delegate
 406:           202           4848  javax.management.ObjectName$Property
 407:           121           4840  com.google.common.collect.MapMakerInternalMap$WeakEntry
 408:           151           4832  java.util.zip.ZipCoder
 409:           301           4816  org.springframework.core.$Proxy0
 410:            75           4800  java.text.DateFormatSymbols
 411:           199           4776  sun.reflect.generics.tree.FormalTypeParameter
 412:           151           4720  [Ljava.util.regex.Pattern$Node;
 413:           196           4704  sun.reflect.annotation.AnnotationParser$1
 414:           194           4656  com.netflix.servo.tag.SmallTagMap$SmallTagIterator
 415:           194           4656  sun.security.provider.JavaKeyStore$TrustedCertEntry
 416:           115           4600  org.springframework.boot.bind.PropertySourcesPropertyValues
 417:           189           4536  javax.management.ImmutableDescriptor
 418:            47           4512  java.util.jar.JarFile$JarFileEntry
 419:            70           4480  java.text.DecimalFormatSymbols
 420:            62           4464  ch.qos.logback.classic.spi.LoggingEvent
 421:           273           4368  java.lang.Byte
 422:            91           4368  org.springframework.core.LocalVariableTableParameterNameDiscoverer$LocalVariableTableVisitor
 423:           109           4360  org.springframework.cglib.proxy.Enhancer$EnhancerKey$$KeyFactoryByCGLIB$$4ce19e8f
 424:           178           4272  java.io.ExpiringCache$Entry
 425:           178           4272  java.util.Collections$3
 426:            76           4256  java.nio.StringCharBuffer
 427:           176           4224  org.springframework.boot.context.embedded.MimeMappings$Mapping
 428:           176           4224  org.springframework.boot.context.properties.ConfigurationBeanFactoryMetaData$MetaData
 429:           174           4176  java.util.regex.Pattern$Single
 430:            87           4176  sun.security.rsa.RSAPublicKeyImpl
 431:           128           4096  com.sun.jmx.mbeanserver.ConvertingMethod
 432:           256           4096  java.lang.Boolean
 433:           127           4064  com.sun.org.apache.xerces.internal.xni.QName
 434:            28           4032  java.text.DecimalFormat
 435:           126           4032  java.util.TreeMap$ValueIterator
 436:           125           4000  java.util.AbstractList$ListItr
 437:           124           3968  java.util.Stack
 438:           124           3968  java.util.regex.Pattern$Branch
 439:            88           3952  [Ljava.lang.invoke.LambdaForm$Name;
 440:           241           3936  [Ljava.security.Principal;
 441:            82           3936  java.lang.invoke.LambdaForm
 442:           123           3936  sun.reflect.annotation.AnnotationType
 443:           144           3840  [Ljava.util.concurrent.atomic.AtomicLong;
 444:            10           3840  org.apache.tomcat.util.threads.TaskThread
 445:           119           3808  freemarker.core.FMParser$JJCalls
 446:            95           3800  org.hibernate.validator.internal.metadata.aggregated.BeanMetaDataImpl$BuilderDelegate
 447:           118           3776  java.util.ArrayList$ListItr
 448:           236           3776  org.springframework.core.convert.support.ArrayToCollectionConverter
 449:           236           3776  org.springframework.core.convert.support.ArrayToObjectConverter
 450:           236           3776  org.springframework.core.convert.support.ArrayToStringConverter
 451:           236           3776  org.springframework.core.convert.support.CollectionToCollectionConverter
 452:           236           3776  org.springframework.core.convert.support.CollectionToObjectConverter
 453:           236           3776  org.springframework.core.convert.support.MapToMapConverter
 454:           236           3776  org.springframework.core.convert.support.ObjectToArrayConverter
 455:           236           3776  org.springframework.core.convert.support.ObjectToCollectionConverter
 456:           236           3776  org.springframework.core.convert.support.StreamConverter
 457:           236           3776  org.springframework.core.convert.support.StringToArrayConverter
 458:           236           3776  org.springframework.core.convert.support.StringToCollectionConverter
 459:           157           3768  javax.xml.namespace.QName
 460:           157           3768  sun.reflect.ByteVectorImpl
 461:           117           3744  java.lang.StackTraceElement
 462:           141           3704  [Ljava.lang.annotation.ElementType;
 463:           231           3696  java.security.ProtectionDomain$Key
 464:            92           3680  java.io.ObjectStreamField
 465:           230           3680  org.springframework.boot.bind.RelaxedConversionService$StringToEnumIgnoringCaseConverterFactory
 466:           230           3680  org.springframework.boot.bind.StringToCharArrayConverter
